순위,곡명,vid1,dur1,vid2,dur2
1,Dynamite - 방탄소년단,zJCdkOpU90g,3분 27초,CN4fffh7gmk,3분 25초
2,다시 여기 바닷가 - 싹쓰리 (유두래곤. 린다G. 비룡),JAy88PDxMIM,4분 21초,f48G9rGVOQU,4분 30초
3,눈누난나 (NUNU NANA) - 제시 (Jessi),tJQaUW36pMw,3분 19초,81Fp_94rEFg,3분 38초
4,마리아 (Maria) - 화사 (Hwa Sa),tDukIfFzX18,3분 51초,zodq4GrJxKM,4분 53초
5,How You Like That - BLACKPINK,ioNng23DkIM,3분 4초,32si5cfrCNc,3분 1초
6,Ice Cream (with Selena Gomez) - BLACKPINK,vRXZj0DzXIA,3분 3초,bO8hS_W3BPE,3분 50초
7,When We Disco (Duet with 선미) - 박진영,zrsBjYukE8s,4분 17초,5VADKmd5AGQ,3분 50초
8,그 여름을 틀어줘 - 싹쓰리 (유두래곤. 린다G. 비룡),UWCMaAPNzm4,4분,OWo0iOkI_Zk,4분 40초
9,Summer Hate (Feat. 비) - 지코 (ZICO),oKUEbsJDvuo,3분 12초,Gm0ODfzVoQU,3분 23초
10,에잇(Prod.&Feat. SUGA of BTS) - 아이유,eV0RTrP9pjM,3분 21초,BhutuEkDlyk,3분 3초
11,Dolphin - 오마이걸 (OH MY GIRL),5_AzOxtIxug,3분 6초,4sOhM0EpzAs,3분 6초
12,Downtown Baby - 블루 (BLOO),3yST4DBZ8aE,3분 53초,P07XG1P0ums,3분 32초
13,아로하 - 조정석,g8oRKbYrZ6Q,4분 37초,3DOkxQ3HDXE,4분 11초
14,덤디덤디 (DUMDi DUMDi) - (여자)아이들,HPQ5mqovXHo,5분 13초,JIKqqPQ-0Ow,3분 31초
15,취기를 빌려 (취향저격 그녀 X 산들) - 산들,d2ytH5mymWY,3분 49초,2COAu1l6hUQ,3분 48초
16,홀로 - 이하이,VdeK_VsG9U0,3분 56초,erVnNhFOHl4,3분
17,Not Shy - ITZY (있지),wTowEKjDGkU,4분 3초,qOzGVI8bt0E,3분
18,살짝 설렜어 (Nonstop) - 오마이걸 (OH MY GIRL),iDjQSdN_ig8,3분 24초,rmqcWggCqeU,3분 30초
19,여름 안에서 by 싹쓰리 (Feat. 황광희) - 싹쓰리 (유두래곤. 린다G. 비룡),OWo0iOkI_Zk,4분 40초,TYMrYQPYRZE,5분 13초
20,보라빛 밤 (pporappippam) - 선미,H8YW1tlsmE8,3분 40초,k8I9W32QYOo,4분 41초
